2026-09-15 21:17:13 host worker01.cluster job 3296981 task 0 stage track
/var/spool/slurmd/job3296981/slurm_script: line 18: nvidia-smi: command not found
base snapshots [2000, 4000, 6000, 8000, 10000, 12000, 14000, 16000, 18000, 20000, 22000, 24000, 26000, 28000, 30000, 32000, 34000, 36000, 38000, 40000]
wd0 snapshots [2000, 4000, 6000, 8000, 10000, 12000, 14000, 16000, 18000, 20000, 22000, 24000, 26000, 28000, 30000, 32000, 34000, 36000, 38000, 40000]
lr1e-4 snapshots [2000, 4000, 6000, 8000, 10000, 12000, 14000, 16000, 18000, 20000, 22000, 24000, 26000, 28000, 30000, 32000, 34000, 36000, 38000, 40000]
# amplitude vs step, slice 21, k80, tofts8 (roi enhancement relative to the model-free reference; peak 20 to 210 s / washout mean t > 200 s)

## base (/net/beegfs/users/P101440/DCE_NIK/results/tofts_vs_patlak/amp_track/base_sl21)
| step | aorta peak / washout | cortex peak / washout | medulla peak / washout | liver peak / washout | heldout mse |
|---|---|---|---|---|---|
| 2000 | 0.78 / 0.88 | 0.53 / 0.74 | 0.68 / 0.75 | 1.33 / 1.53 | 5.093e-01 |
| 4000 | 0.77 / 0.95 | 0.57 / 0.75 | 0.70 / 0.77 | 1.22 / 1.37 | 5.145e-01 |
| 6000 | 0.80 / 1.03 | 0.66 / 0.85 | 0.79 / 0.86 | 1.12 / 1.26 | 5.310e-01 |
| 8000 | 0.76 / 0.97 | 0.67 / 0.89 | 0.83 / 0.89 | 1.15 / 1.29 | 5.459e-01 |
| 10000 | 0.78 / 0.98 | 0.67 / 0.89 | 0.82 / 0.89 | 1.00 / 1.17 | 5.569e-01 |
| 12000 | 0.74 / 1.00 | 0.69 / 0.90 | 0.83 / 0.90 | 1.05 / 1.23 | 5.636e-01 |
| 14000 | 0.71 / 1.00 | 0.68 / 0.90 | 0.84 / 0.89 | 1.00 / 1.19 | 5.684e-01 |
| 16000 | 0.70 / 0.92 | 0.70 / 0.91 | 0.85 / 0.91 | 1.06 / 1.23 | 5.716e-01 |
| 18000 | 0.74 / 0.96 | 0.69 / 0.90 | 0.84 / 0.90 | 1.00 / 1.19 | 5.754e-01 |
| 20000 | 0.73 / 0.97 | 0.68 / 0.90 | 0.85 / 0.91 | 1.06 / 1.23 | 5.793e-01 |
| 22000 | 0.69 / 0.90 | 0.68 / 0.91 | 0.85 / 0.91 | 1.05 / 1.22 | 5.795e-01 |
| 24000 | 0.71 / 0.89 | 0.68 / 0.90 | 0.86 / 0.92 | 1.07 / 1.20 | 5.813e-01 |
| 26000 | 0.71 / 0.96 | 0.67 / 0.90 | 0.85 / 0.91 | 1.02 / 1.19 | 5.832e-01 |
| 28000 | 0.68 / 0.89 | 0.69 / 0.91 | 0.86 / 0.92 | 1.01 / 1.17 | 5.845e-01 |
| 30000 | 0.70 / 0.86 | 0.67 / 0.90 | 0.85 / 0.91 | 1.01 / 1.16 | 5.883e-01 |
| 32000 | 0.73 / 0.99 | 0.68 / 0.90 | 0.86 / 0.91 | 1.09 / 1.21 | 5.903e-01 |
| 34000 | 0.72 / 0.98 | 0.69 / 0.90 | 0.85 / 0.91 | 1.09 / 1.24 | 5.906e-01 |
| 36000 | 0.72 / 0.91 | 0.72 / 0.95 | 0.90 / 0.95 | 0.92 / 1.11 | 6.136e-01 |
| 38000 | 0.68 / 0.86 | 0.72 / 0.95 | 0.91 / 0.96 | 0.99 / 1.14 | 6.138e-01 |
| 40000 | 0.68 / 0.87 | 0.70 / 0.93 | 0.88 / 0.94 | 0.98 / 1.15 | 6.150e-01 |

## wd0 (/net/beegfs/users/P101440/DCE_NIK/results/tofts_vs_patlak/amp_track/wd0_sl21)
| step | aorta peak / washout | cortex peak / washout | medulla peak / washout | liver peak / washout | heldout mse |
|---|---|---|---|---|---|
| 2000 | 0.87 / 0.96 | 0.56 / 0.82 | 0.78 / 0.84 | 0.90 / 1.06 | 5.274e-01 |
| 4000 | 0.90 / 0.98 | 0.69 / 0.90 | 0.86 / 0.92 | 0.93 / 1.09 | 5.550e-01 |
| 6000 | 0.94 / 1.04 | 0.76 / 0.95 | 0.90 / 0.96 | 0.96 / 1.10 | 5.873e-01 |
| 8000 | 0.92 / 0.97 | 0.78 / 0.96 | 0.91 / 0.97 | 1.02 / 1.18 | 6.120e-01 |
| 10000 | 0.93 / 1.05 | 0.78 / 0.97 | 0.92 / 0.99 | 0.92 / 1.09 | 6.254e-01 |
| 12000 | 0.92 / 1.10 | 0.81 / 0.96 | 0.91 / 0.97 | 0.96 / 1.12 | 6.384e-01 |
| 14000 | 0.92 / 1.07 | 0.80 / 0.97 | 0.92 / 0.98 | 1.03 / 1.19 | 6.483e-01 |
| 16000 | 0.92 / 1.04 | 0.80 / 0.98 | 0.91 / 0.97 | 0.96 / 1.07 | 6.519e-01 |
| 18000 | 0.93 / 1.03 | 0.79 / 0.96 | 0.91 / 0.98 | 0.97 / 1.16 | 6.596e-01 |
| 20000 | 0.93 / 1.07 | 0.80 / 0.96 | 0.91 / 0.98 | 0.96 / 1.18 | 6.644e-01 |
| 22000 | 0.90 / 0.96 | 0.80 / 0.99 | 0.95 / 1.00 | 1.07 / 1.20 | 6.699e-01 |
| 24000 | 0.91 / 1.01 | 0.82 / 0.97 | 0.91 / 0.98 | 0.98 / 1.15 | 6.699e-01 |
| 26000 | 0.96 / 1.14 | 0.80 / 0.97 | 0.91 / 0.97 | 1.08 / 1.25 | 6.751e-01 |
| 28000 | 0.89 / 0.95 | 0.81 / 0.97 | 0.93 / 0.99 | 0.92 / 1.10 | 6.765e-01 |
| 30000 | 0.97 / 1.10 | 0.81 / 0.97 | 0.92 / 0.98 | 0.91 / 1.04 | 6.786e-01 |
| 32000 | 0.93 / 1.12 | 0.80 / 0.97 | 0.91 / 0.97 | 0.98 / 1.17 | 6.828e-01 |
| 34000 | 0.93 / 1.02 | 0.85 / 1.00 | 0.94 / 1.00 | 0.87 / 0.99 | 7.165e-01 |
| 36000 | 0.93 / 1.05 | 0.86 / 1.01 | 0.95 / 1.02 | 0.80 / 0.99 | 7.308e-01 |
| 38000 | 0.94 / 1.02 | 0.86 / 1.01 | 0.95 / 1.02 | 0.86 / 1.02 | 7.368e-01 |
| 40000 | 0.91 / 0.97 | 0.85 / 1.00 | 0.94 / 1.01 | 0.89 / 1.05 | 7.388e-01 |

## lr1e-4 (/net/beegfs/users/P101440/DCE_NIK/results/tofts_vs_patlak/amp_track/lr1e-4_sl21)
| step | aorta peak / washout | cortex peak / washout | medulla peak / washout | liver peak / washout | heldout mse |
|---|---|---|---|---|---|
| 2000 | 0.21 / 0.47 | 0.28 / 0.43 | 0.40 / 0.43 | 1.88 / 2.08 | 5.856e-01 |
| 4000 | 0.24 / 0.60 | 0.29 / 0.45 | 0.39 / 0.42 | 1.82 / 2.03 | 5.667e-01 |
| 6000 | 0.29 / 0.67 | 0.31 / 0.47 | 0.39 / 0.41 | 1.82 / 2.01 | 5.376e-01 |
| 8000 | 0.34 / 0.65 | 0.30 / 0.46 | 0.39 / 0.41 | 1.77 / 1.95 | 5.322e-01 |
| 10000 | 0.40 / 0.74 | 0.31 / 0.47 | 0.39 / 0.42 | 1.73 / 1.93 | 5.332e-01 |
| 12000 | 0.51 / 0.60 | 0.31 / 0.46 | 0.39 / 0.42 | 1.74 / 1.94 | 5.317e-01 |
| 14000 | 0.48 / 0.58 | 0.32 / 0.46 | 0.38 / 0.43 | 1.68 / 1.92 | 5.345e-01 |
| 16000 | 0.51 / 0.58 | 0.35 / 0.46 | 0.41 / 0.46 | 1.74 / 1.89 | 5.355e-01 |
| 18000 | 0.52 / 0.64 | 0.33 / 0.45 | 0.41 / 0.49 | 1.69 / 1.92 | 5.361e-01 |
| 20000 | 0.53 / 0.55 | 0.33 / 0.45 | 0.41 / 0.48 | 1.70 / 1.91 | 5.384e-01 |
| 22000 | 0.49 / 0.53 | 0.33 / 0.48 | 0.43 / 0.50 | 1.61 / 1.79 | 5.401e-01 |
| 24000 | 0.52 / 0.70 | 0.34 / 0.49 | 0.44 / 0.52 | 1.71 / 1.89 | 5.397e-01 |
| 26000 | 0.48 / 0.64 | 0.36 / 0.50 | 0.46 / 0.53 | 1.69 / 1.84 | 5.409e-01 |
| 28000 | 0.54 / 0.69 | 0.37 / 0.53 | 0.47 / 0.55 | 1.67 / 1.83 | 5.419e-01 |
| 30000 | 0.54 / 0.69 | 0.37 / 0.52 | 0.48 / 0.54 | 1.63 / 1.78 | 5.454e-01 |
| 32000 | 0.54 / 0.87 | 0.37 / 0.53 | 0.48 / 0.55 | 1.67 / 1.81 | 5.438e-01 |
| 34000 | 0.62 / 0.74 | 0.37 / 0.54 | 0.49 / 0.56 | 1.59 / 1.73 | 5.454e-01 |
| 36000 | 0.53 / 0.61 | 0.38 / 0.54 | 0.50 / 0.58 | 1.55 / 1.72 | 5.457e-01 |
| 38000 | 0.52 / 0.76 | 0.40 / 0.58 | 0.53 / 0.59 | 1.57 / 1.74 | 5.509e-01 |
| 40000 | 0.54 / 0.69 | 0.41 / 0.57 | 0.53 / 0.59 | 1.50 / 1.64 | 5.494e-01 |

AMP_TRACK_DONE
[W915 21:18:24.906682248 AllocatorConfig.cpp:28] Warning: PYTORCH_CUDA_ALLOC_CONF is deprecated, use PYTORCH_ALLOC_CONF instead (function operator())
TRACK exit 0
