2026-09-16 19:05:52 host worker06.cluster job 3310118 task 40 stage recon cpus 8
slice 40: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 5.91e-05 (2s)
  ite = 0, cost = 0.000068
  ite = 1, cost = 0.000060
  ite = 2, cost = 0.000053
  ite = 3, cost = 0.000046
  ite = 4, cost = 0.000041
  ite = 5, cost = 0.000039
  ite = 6, cost = 0.000039
  ite = 7, cost = 0.000038
  ite = 8, cost = 0.000037
  ite = 0, cost = 0.000036
  ite = 1, cost = 0.000036
  ite = 2, cost = 0.000035
  ite = 3, cost = 0.000035
  ite = 4, cost = 0.000034
  ite = 5, cost = 0.000033
  ite = 6, cost = 0.000033
  ite = 7, cost = 0.000032
  ite = 8, cost = 0.000032
  ite = 0, cost = 0.000031
  ite = 1, cost = 0.000031
  ite = 2, cost = 0.000031
  ite = 3, cost = 0.000030
  ite = 4, cost = 0.000030
  ite = 5, cost = 0.000030
  ite = 6, cost = 0.000030
  ite = 7, cost = 0.000030
  ite = 8, cost = 0.000030
SAVED slice 40 lam0.02 (192, 192, 102) finite=True (339s)
  ite = 0, cost = 0.000206
  ite = 1, cost = 0.000175
  ite = 2, cost = 0.000140
  ite = 3, cost = 0.000119
  ite = 4, cost = 0.000098
  ite = 5, cost = 0.000088
  ite = 6, cost = 0.000085
  ite = 7, cost = 0.000080
  ite = 8, cost = 0.000073
  ite = 0, cost = 0.000070
  ite = 1, cost = 0.000068
  ite = 2, cost = 0.000061
  ite = 3, cost = 0.000059
  ite = 4, cost = 0.000057
  ite = 5, cost = 0.000055
  ite = 6, cost = 0.000054
  ite = 7, cost = 0.000053
  ite = 8, cost = 0.000051
  ite = 0, cost = 0.000048
  ite = 1, cost = 0.000047
  ite = 2, cost = 0.000046
  ite = 3, cost = 0.000044
  ite = 4, cost = 0.000043
  ite = 5, cost = 0.000042
  ite = 6, cost = 0.000042
  ite = 7, cost = 0.000041
