2026-09-16 19:12:21 host worker07.cluster job 3310126 task 46 stage recon cpus 8
error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/P101440/.cache/mamba/proc'
    Waiting for other mamba process to finish
slice 46: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 5.69e-05 (2s)
  ite = 0, cost = 0.000065
  ite = 1, cost = 0.000062
  ite = 2, cost = 0.000051
  ite = 3, cost = 0.000046
  ite = 4, cost = 0.000037
  ite = 5, cost = 0.000033
  ite = 6, cost = 0.000031
  ite = 7, cost = 0.000029
  ite = 8, cost = 0.000028
  ite = 0, cost = 0.000027
  ite = 1, cost = 0.000027
  ite = 2, cost = 0.000026
  ite = 3, cost = 0.000024
  ite = 4, cost = 0.000024
  ite = 5, cost = 0.000024
  ite = 6, cost = 0.000023
  ite = 7, cost = 0.000022
  ite = 8, cost = 0.000022
  ite = 0, cost = 0.000022
  ite = 1, cost = 0.000021
  ite = 2, cost = 0.000021
  ite = 3, cost = 0.000021
  ite = 4, cost = 0.000021
  ite = 5, cost = 0.000020
  ite = 6, cost = 0.000020
  ite = 7, cost = 0.000020
  ite = 8, cost = 0.000020
SAVED slice 46 lam0.02 (192, 192, 102) finite=True (843s)
  ite = 0, cost = 0.000203
  ite = 1, cost = 0.000201
  ite = 2, cost = 0.000143
  ite = 3, cost = 0.000123
  ite = 4, cost = 0.000120
  ite = 5, cost = 0.000105
  ite = 6, cost = 0.000089
  ite = 7, cost = 0.000079
  ite = 8, cost = 0.000072
  ite = 0, cost = 0.000064
  ite = 1, cost = 0.000059
  ite = 2, cost = 0.000049
  ite = 3, cost = 0.000048
  ite = 4, cost = 0.000045
  ite = 5, cost = 0.000042
  ite = 6, cost = 0.000040
  ite = 7, cost = 0.000037
  ite = 8, cost = 0.000036
  ite = 0, cost = 0.000030
  ite = 1, cost = 0.000029
  ite = 2, cost = 0.000029
  ite = 3, cost = 0.000028
  ite = 4, cost = 0.000028
  ite = 5, cost = 0.000027
  ite = 6, cost = 0.000026
  ite = 7, cost = 0.000026
  ite = 8, cost = 0.000025
SAVED slice 46 lam0.08 (192, 192, 102) finite=True (454s)
  ite = 0, cost = 0.000491
  ite = 1, cost = 0.000466
  ite = 2, cost = 0.000439
  ite = 3, cost = 0.000390
  ite = 4, cost = 0.000328
  ite = 5, cost = 0.000303
  ite = 6, cost = 0.000299
  ite = 7, cost = 0.000276
  ite = 8, cost = 0.000262
  ite = 0, cost = 0.000245
  ite = 1, cost = 0.000239
  ite = 2, cost = 0.000190
  ite = 3, cost = 0.000188
  ite = 4, cost = 0.000172
  ite = 5, cost = 0.000154
  ite = 6, cost = 0.000138
  ite = 7, cost = 0.000129
  ite = 8, cost = 0.000121
  ite = 0, cost = 0.000088
  ite = 1, cost = 0.000085
  ite = 2, cost = 0.000084
  ite = 3, cost = 0.000080
  ite = 4, cost = 0.000071
  ite = 5, cost = 0.000065
