2026-09-16 18:21:28 host worker06.cluster job 3308518 task 6 stage recon cpus 8
slice 06: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 0.0001114 (2s)
  ite = 0, cost = 0.000109
  ite = 1, cost = 0.000088
  ite = 2, cost = 0.000076
  ite = 3, cost = 0.000069
  ite = 4, cost = 0.000058
  ite = 5, cost = 0.000053
  ite = 6, cost = 0.000049
  ite = 7, cost = 0.000047
  ite = 8, cost = 0.000045
  ite = 0, cost = 0.000040
  ite = 1, cost = 0.000040
  ite = 2, cost = 0.000039
  ite = 3, cost = 0.000038
  ite = 4, cost = 0.000036
  ite = 5, cost = 0.000035
  ite = 6, cost = 0.000035
  ite = 7, cost = 0.000035
  ite = 8, cost = 0.000034
  ite = 0, cost = 0.000033
  ite = 1, cost = 0.000032
  ite = 2, cost = 0.000032
  ite = 3, cost = 0.000032
  ite = 4, cost = 0.000032
  ite = 5, cost = 0.000031
  ite = 6, cost = 0.000031
  ite = 7, cost = 0.000031
  ite = 8, cost = 0.000031
SAVED slice 06 lam0.02 (192, 192, 102) finite=True (396s)
  ite = 0, cost = 0.000393
  ite = 1, cost = 0.000373
  ite = 2, cost = 0.000354
  ite = 3, cost = 0.000342
  ite = 4, cost = 0.000265
  ite = 5, cost = 0.000203
  ite = 6, cost = 0.000183
  ite = 7, cost = 0.000168
  ite = 8, cost = 0.000152
  ite = 0, cost = 0.000127
  ite = 1, cost = 0.000114
