2026-09-16 18:21:29 host worker01.cluster job 3308521 task 9 stage recon cpus 8
error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/P101440/.cache/mamba/proc'
    Waiting for other mamba process to finish
slice 09: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 0.0001122 (2s)
  ite = 0, cost = 0.000131
  ite = 1, cost = 0.000122
  ite = 2, cost = 0.000111
  ite = 3, cost = 0.000104
  ite = 4, cost = 0.000104
  ite = 5, cost = 0.000097
  ite = 6, cost = 0.000086
  ite = 7, cost = 0.000083
  ite = 8, cost = 0.000081
  ite = 0, cost = 0.000071
  ite = 1, cost = 0.000070
  ite = 2, cost = 0.000064
  ite = 3, cost = 0.000061
  ite = 4, cost = 0.000059
  ite = 5, cost = 0.000055
  ite = 6, cost = 0.000054
  ite = 7, cost = 0.000053
  ite = 8, cost = 0.000052
  ite = 0, cost = 0.000050
  ite = 1, cost = 0.000049
  ite = 2, cost = 0.000048
  ite = 3, cost = 0.000048
  ite = 4, cost = 0.000048
  ite = 5, cost = 0.000047
  ite = 6, cost = 0.000047
  ite = 7, cost = 0.000047
  ite = 8, cost = 0.000047
SAVED slice 09 lam0.02 (192, 192, 102) finite=True (458s)
  ite = 0, cost = 0.000420
  ite = 1, cost = 0.000370
  ite = 2, cost = 0.000332
  ite = 3, cost = 0.000301
  ite = 4, cost = 0.000252
  ite = 5, cost = 0.000226
  ite = 6, cost = 0.000213
  ite = 7, cost = 0.000200
  ite = 8, cost = 0.000196
  ite = 0, cost = 0.000143
  ite = 1, cost = 0.000139
  ite = 2, cost = 0.000135
  ite = 3, cost = 0.000129
  ite = 4, cost = 0.000120
  ite = 5, cost = 0.000111
  ite = 6, cost = 0.000106
  ite = 7, cost = 0.000101
  ite = 8, cost = 0.000100
  ite = 0, cost = 0.000094
  ite = 1, cost = 0.000093
  ite = 2, cost = 0.000088
  ite = 3, cost = 0.000085
