2026-09-16 21:27:21 host worker02.cluster job 3310188 task 33 stage recon cpus 8
error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/P101440/.cache/mamba/proc'
    Waiting for other mamba process to finish
slice 33: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 6.146e-05 (2s)
  ite = 0, cost = 0.000078
  ite = 1, cost = 0.000073
  ite = 2, cost = 0.000069
  ite = 3, cost = 0.000061
  ite = 4, cost = 0.000059
  ite = 5, cost = 0.000056
  ite = 6, cost = 0.000054
  ite = 7, cost = 0.000054
  ite = 8, cost = 0.000053
  ite = 0, cost = 0.000050
  ite = 1, cost = 0.000049
  ite = 2, cost = 0.000048
  ite = 3, cost = 0.000047
  ite = 4, cost = 0.000047
  ite = 5, cost = 0.000046
  ite = 6, cost = 0.000045
  ite = 7, cost = 0.000045
  ite = 8, cost = 0.000044
  ite = 0, cost = 0.000043
  ite = 1, cost = 0.000043
  ite = 2, cost = 0.000043
  ite = 3, cost = 0.000042
  ite = 4, cost = 0.000042
  ite = 5, cost = 0.000042
  ite = 6, cost = 0.000042
  ite = 7, cost = 0.000041
  ite = 8, cost = 0.000041
SAVED slice 33 lam0.02 (192, 192, 102) finite=True (371s)
  ite = 0, cost = 0.000367
  ite = 1, cost = 0.000367
  ite = 2, cost = 0.000348
  ite = 3, cost = 0.000296
  ite = 4, cost = 0.000268
  ite = 5, cost = 0.000225
  ite = 6, cost = 0.000214
  ite = 7, cost = 0.000210
  ite = 8, cost = 0.000189
  ite = 0, cost = 0.000152
  ite = 1, cost = 0.000145
  ite = 2, cost = 0.000123
  ite = 3, cost = 0.000115
  ite = 4, cost = 0.000102
  ite = 5, cost = 0.000091
  ite = 6, cost = 0.000087
  ite = 7, cost = 0.000082
  ite = 8, cost = 0.000078
  ite = 0, cost = 0.000068
  ite = 1, cost = 0.000065
  ite = 2, cost = 0.000062
  ite = 3, cost = 0.000061
  ite = 4, cost = 0.000060
  ite = 5, cost = 0.000058
  ite = 6, cost = 0.000058
  ite = 7, cost = 0.000057
  ite = 8, cost = 0.000057
SAVED slice 33 lam0.08 (192, 192, 102) finite=True (552s)
  ite = 0, cost = 0.000975
  ite = 1, cost = 0.000956
  ite = 2, cost = 0.000814
  ite = 3, cost = 0.000767
  ite = 4, cost = 0.000614
  ite = 5, cost = 0.000546
  ite = 6, cost = 0.000529
  ite = 7, cost = 0.000513
  ite = 8, cost = 0.000500
  ite = 0, cost = 0.000304
