2026-09-17 13:38:54 host worker03.cluster job 3318878 task 38 stage recon cpus 8
slice 38: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 6.55e-05 (3s)
  ite = 0, cost = 0.000774
  ite = 1, cost = 0.000748
  ite = 2, cost = 0.000687
  ite = 3, cost = 0.000562
  ite = 4, cost = 0.000526
  ite = 5, cost = 0.000523
  ite = 6, cost = 0.000495
  ite = 7, cost = 0.000485
  ite = 8, cost = 0.000463
  ite = 0, cost = 0.000418
  ite = 1, cost = 0.000405
  ite = 2, cost = 0.000340
  ite = 3, cost = 0.000320
  ite = 4, cost = 0.000303
  ite = 5, cost = 0.000299
  ite = 6, cost = 0.000281
  ite = 7, cost = 0.000272
  ite = 8, cost = 0.000262
  ite = 0, cost = 0.000166
  ite = 1, cost = 0.000150
  ite = 2, cost = 0.000138
  ite = 3, cost = 0.000136
  ite = 4, cost = 0.000130
  ite = 5, cost = 0.000120
  ite = 6, cost = 0.000115
