2026-09-17 13:27:41 host worker04.cluster job 3318787 task 4 stage recon cpus 8
error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/P101440/.cache/mamba/proc'
    Waiting for other mamba process to finish
slice 04: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 9.559e-05 (2s)
  ite = 0, cost = 0.000782
  ite = 1, cost = 0.000653
  ite = 2, cost = 0.000472
  ite = 3, cost = 0.000416
  ite = 4, cost = 0.000378
  ite = 5, cost = 0.000362
  ite = 6, cost = 0.000339
  ite = 7, cost = 0.000336
  ite = 8, cost = 0.000332
  ite = 0, cost = 0.000266
  ite = 1, cost = 0.000262
  ite = 2, cost = 0.000219
  ite = 3, cost = 0.000215
  ite = 4, cost = 0.000200
  ite = 5, cost = 0.000181
  ite = 6, cost = 0.000161
  ite = 7, cost = 0.000150
  ite = 8, cost = 0.000142
  ite = 0, cost = 0.000105
  ite = 1, cost = 0.000100
  ite = 2, cost = 0.000098
  ite = 3, cost = 0.000095
  ite = 4, cost = 0.000086
  ite = 5, cost = 0.000084
  ite = 6, cost = 0.000081
  ite = 7, cost = 0.000076
  ite = 8, cost = 0.000074
SAVED slice 04 glam0.25 lam=1.89e-05 (192, 192, 102) finite=True (453s)
SLICE_DONE 04 455s
