2026-09-17 14:23:35 host worker04.cluster job 3319002 task 19 stage recon cpus 8
error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/P101440/.cache/mamba/proc'
    Waiting for other mamba process to finish
slice 19: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 7.319e-05 (2s)
  ite = 0, cost = 0.000125
  ite = 1, cost = 0.000104
  ite = 2, cost = 0.000092
  ite = 3, cost = 0.000088
  ite = 4, cost = 0.000084
  ite = 5, cost = 0.000081
  ite = 6, cost = 0.000080
  ite = 7, cost = 0.000080
  ite = 8, cost = 0.000078
  ite = 0, cost = 0.000076
  ite = 1, cost = 0.000075
  ite = 2, cost = 0.000075
  ite = 3, cost = 0.000075
  ite = 4, cost = 0.000074
  ite = 5, cost = 0.000074
  ite = 6, cost = 0.000073
  ite = 7, cost = 0.000073
  ite = 8, cost = 0.000072
