2026-09-17 14:23:34 host worker06.cluster job 3318991 task 8 stage recon cpus 8
error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/P101440/.cache/mamba/proc'
    Waiting for other mamba process to finish
slice 08: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 0.000111 (2s)
  ite = 0, cost = 0.000089
  ite = 1, cost = 0.000084
  ite = 2, cost = 0.000076
  ite = 3, cost = 0.000064
  ite = 4, cost = 0.000061
  ite = 5, cost = 0.000056
  ite = 6, cost = 0.000053
  ite = 7, cost = 0.000052
  ite = 8, cost = 0.000050
  ite = 0, cost = 0.000047
  ite = 1, cost = 0.000047
  ite = 2, cost = 0.000045
  ite = 3, cost = 0.000043
  ite = 4, cost = 0.000042
  ite = 5, cost = 0.000041
  ite = 6, cost = 0.000039
  ite = 7, cost = 0.000039
  ite = 8, cost = 0.000038
  ite = 0, cost = 0.000037
  ite = 1, cost = 0.000037
  ite = 2, cost = 0.000037
  ite = 3, cost = 0.000036
  ite = 4, cost = 0.000036
  ite = 5, cost = 0.000036
  ite = 6, cost = 0.000036
  ite = 7, cost = 0.000036
  ite = 8, cost = 0.000036
SAVED slice 08 glam0.02 lam=1.52e-06 (192, 192, 102) finite=True (338s)
SLICE_DONE 08 340s
