2026-09-17 14:38:22 host worker05.cluster job 3319056 task 27 stage recon cpus 8
slice 27: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 0.0001077 (2s)
  ite = 0, cost = 0.000114
  ite = 1, cost = 0.000101
  ite = 2, cost = 0.000095
  ite = 3, cost = 0.000086
  ite = 4, cost = 0.000084
  ite = 5, cost = 0.000081
  ite = 6, cost = 0.000079
  ite = 7, cost = 0.000079
  ite = 8, cost = 0.000078
  ite = 0, cost = 0.000073
  ite = 1, cost = 0.000072
  ite = 2, cost = 0.000070
  ite = 3, cost = 0.000068
  ite = 4, cost = 0.000067
  ite = 5, cost = 0.000066
  ite = 6, cost = 0.000065
  ite = 7, cost = 0.000065
  ite = 8, cost = 0.000064
  ite = 0, cost = 0.000064
  ite = 1, cost = 0.000063
  ite = 2, cost = 0.000063
  ite = 3, cost = 0.000062
  ite = 4, cost = 0.000062
  ite = 5, cost = 0.000061
  ite = 6, cost = 0.000061
  ite = 7, cost = 0.000061
  ite = 8, cost = 0.000061
SAVED slice 27 glam0.02 lam=1.52e-06 (192, 192, 102) finite=True (366s)
  ite = 0, cost = 0.000514
