t_s,nufft,lam0.02,lam0.08,lam0.25,glam0.02,glam0.08,glam0.25
4.409982702952001787e+00,1.162600165116600692e-05,2.387553467997349799e-05,2.389226574450731277e-05,2.194214357587043196e-05,2.381313061050605029e-05,2.394180228293407708e-05,2.105265593854710460e-05
8.041733164206592122e+00,1.311897085543023422e-05,2.429451342322863638e-05,2.392242095083929598e-05,2.200955350417643785e-05,2.445648169668857008e-05,2.411066816421225667e-05,2.113461596309207380e-05
1.167348362546118068e+01,1.110563061956781894e-05,2.388567736488766968e-05,2.403444159426726401e-05,2.218564259237609804e-05,2.363191379117779434e-05,2.406140265520662069e-05,2.124248931067995727e-05
1.530523408671577101e+01,1.154129859060049057e-05,2.414377740933559835e-05,2.425282946205697954e-05,2.241869879071600735e-05,2.427857907605357468e-05,2.429304004181176424e-05,2.145928010577335954e-05
1.893698454797036135e+01,1.263887133973184973e-05,2.494111686246469617e-05,2.458471135469153523e-05,2.287335883011110127e-05,2.501191011106129736e-05,2.471767584211193025e-05,2.187475911341607571e-05
2.256873500922495168e+01,1.165783578471746296e-05,2.531286554585676640e-05,2.472151027177460492e-05,2.344021413591690361e-05,2.538238550187088549e-05,2.482222953403834254e-05,2.218910958617925644e-05
2.620048547047954202e+01,1.307491584157105535e-05,2.546081304899416864e-05,2.503696850908454508e-05,2.411949026281945407e-05,2.579943611635826528e-05,2.506319651729427278e-05,2.263873102492652833e-05
2.983223593173413235e+01,1.313172288064379245e-05,2.513730942155234516e-05,2.523174771340563893e-05,2.492161002010107040e-05,2.531613790779374540e-05,2.523156035749707371e-05,2.319115083082579076e-05
3.346398639298872268e+01,1.008855542750097811e-05,2.371447953919414431e-05,2.522963586670812219e-05,2.539938577683642507e-05,2.310686249984428287e-05,2.517527536838315427e-05,2.352111368963960558e-05
3.709573685424331302e+01,1.254024482477689162e-05,2.474362918292172253e-05,2.592947930679656565e-05,2.682660124264657497e-05,2.466265505063347518e-05,2.553982631070539355e-05,2.438520095893181860e-05
4.072748731549790335e+01,2.656041397131048143e-05,5.534195952350273728e-05,5.403933027992025018e-05,4.915763565804809332e-05,5.487348244059830904e-05,5.422079266281798482e-05,4.706425897893495858e-05
4.435923777675249369e+01,7.131653546821326017e-05,1.408246898790821433e-04,1.295997644774615765e-04,1.041660289047285914e-04,1.416352461092174053e-04,1.349143276456743479e-04,1.070772777893580496e-04
4.799098823800708402e+01,7.144789560697972775e-05,1.361944887321442366e-04,1.273481029784306884e-04,1.058865891536697745e-04,1.368778030155226588e-04,1.307664642808958888e-04,1.067894045263528824e-04
5.162273869926167436e+01,4.793238622369244695e-05,9.627162944525480270e-05,9.601863712305203080e-05,8.805650577414780855e-05,9.591521666152402759e-05,9.694286563899368048e-05,8.438447548542171717e-05
5.525448916051626469e+01,4.899221676168963313e-05,9.646719263400882483e-05,9.193559526465833187e-05,8.175536640919744968e-05,9.642145596444606781e-05,9.300414239987730980e-05,8.044108108151704073e-05
5.888623962177085502e+01,2.927771492977626622e-05,6.251010927371680737e-05,6.423321610782295465e-05,6.480788579210639000e-05,6.199808558449149132e-05,6.420142744900658727e-05,6.109188689151778817e-05
6.251799008302543825e+01,3.059284063056111336e-05,6.189366831677034497e-05,6.346186273731291294e-05,6.435622344724833965e-05,6.211646541487425566e-05,6.351496267598122358e-05,6.059239240130409598e-05
6.614974054428002148e+01,3.100658796029165387e-05,6.281927198870107532e-05,6.370924529619514942e-05,6.402935832738876343e-05,6.258139910642057657e-05,6.390292401192709804e-05,6.052698881831020117e-05
6.978149100553461892e+01,3.722336259670555592e-05,7.292588270502164960e-05,6.925797060830518603e-05,6.415495590772479773e-05,7.278571865754202008e-05,6.971989932935684919e-05,6.168376421555876732e-05
7.341324146678921636e+01,4.244279261911287904e-05,8.534034714102745056e-05,7.685257878620177507e-05,6.481169839389622211e-05,8.617379353381693363e-05,8.010202145669609308e-05,6.415355892386287451e-05
7.704499192804379959e+01,4.034414087072946131e-05,7.969730359036475420e-05,7.564235420431941748e-05,6.466245395131409168e-05,7.979702786542475224e-05,7.748464122414588928e-05,6.414088420569896698e-05
8.067674238929839703e+01,3.504395135678350925e-05,7.107730198185890913e-05,6.974009738769382238e-05,6.293805199675261974e-05,7.060365169309079647e-05,7.015175651758909225e-05,6.178375770105049014e-05
8.430849285055298026e+01,3.301930337329395115e-05,6.576064333785325289e-05,6.449119246099144220e-05,6.018382919137366116e-05,6.572580605279654264e-05,6.514340930152684450e-05,5.859376324224285781e-05
