z,prep (post kz-fft),nufft,lam0.02,lam0.08,lam0.25,glam0.02,glam0.08,glam0.25,b1_den_median
0.000000000000000000e+00,1.212738970934879035e-05,6.794861747039249167e-06,1.118095860874745995e-05,1.101135057979263365e-05,9.655605936131905764e-06,1.116944895329652354e-05,1.055154461937490851e-05,9.933559340424835682e-06,1.208874940872192383e+00
1.000000000000000000e+00,1.304218676523305476e-05,7.235532848426373675e-06,1.183233234769431874e-05,1.148625142377568409e-05,1.016157239064341411e-05,1.179727951239328831e-05,1.151227115769870579e-05,1.027140024234540761e-05,1.265654087066650391e+00
2.000000000000000000e+00,1.401564713887637481e-05,7.532882591476663947e-06,1.255417828360805288e-05,1.225194137077778578e-05,1.041561154124792665e-05,1.256526502402266487e-05,1.216155942529439926e-05,1.084745599655434489e-05,1.301608324050903320e+00
3.000000000000000000e+00,1.497514949733158574e-05,7.858337994548492134e-06,1.345005421171663329e-05,1.304411125602200627e-05,1.158175837190356106e-05,1.340586368314689025e-05,1.306208014284493402e-05,1.114968563342699781e-05,1.288252592086791992e+00
4.000000000000000000e+00,1.617499947315081954e-05,8.611912562628276646e-06,1.504459942225366831e-05,1.409106425853678957e-05,1.320489900535903871e-05,1.509249705122783780e-05,1.464680735807633027e-05,1.242852704308461398e-05,1.221902012825012207e+00
5.000000000000000000e+00,1.756339770508930087e-05,9.486464477959088981e-06,1.697012339718639851e-05,1.634137697692494839e-05,1.494680873292963952e-05,1.709884236333891749e-05,1.670766869210638106e-05,1.401042391080409288e-05,1.143988847732543945e+00
6.000000000000000000e+00,1.852949935710057616e-05,9.575533113093115389e-06,1.722161505313124508e-05,1.653550498303957283e-05,1.513377173978369683e-05,1.733883254928514361e-05,1.692083424131851643e-05,1.420600165147334337e-05,1.246981859207153320e+00
7.000000000000000000e+00,1.942350536410231143e-05,1.005868307402124628e-05,1.809474451874848455e-05,1.741772393870633096e-05,1.595461799297481775e-05,1.814620009099598974e-05,1.741114101605489850e-05,1.498341862316010520e-05,1.237193465232849121e+00
8.000000000000000000e+00,2.087247958115767688e-05,1.068915298674255610e-05,1.949435500137042254e-05,1.895485002023633569e-05,1.695257014944218099e-05,1.957540371222421527e-05,1.910809623950626701e-05,1.683600567048415542e-05,1.231348514556884766e+00
9.000000000000000000e+00,2.275676160934381187e-05,1.195975710288621485e-05,2.197282810811884701e-05,2.131496330548543483e-05,2.038823731709271669e-05,2.215298809460364282e-05,2.150695945601910353e-05,1.889127815957181156e-05,1.148476362228393555e+00
1.000000000000000000e+01,2.427335493848659098e-05,1.305661044170847163e-05,2.425911407044623047e-05,2.356010554649401456e-05,1.979980697797145694e-05,2.432972723909188062e-05,2.376959673711098731e-05,2.327992297068703920e-05,1.102408885955810547e+00
1.100000000000000000e+01,2.562342524470295757e-05,1.361929116683313623e-05,2.533143560867756605e-05,2.451928048685658723e-05,2.138100535375997424e-05,2.531578502384945750e-05,2.477203452144749463e-05,2.397885327809490263e-05,1.132513046264648438e+00
1.200000000000000000e+01,2.708447937038727105e-05,1.435057492926716805e-05,2.655862408573739231e-05,2.581406442914158106e-05,2.416740062471944839e-05,2.674235656741075218e-05,2.627258982101920992e-05,2.513691651984117925e-05,1.133565425872802734e+00
1.300000000000000000e+01,2.832206700986716896e-05,1.524188064649933949e-05,2.840350862243212759e-05,2.786950608424376696e-05,2.660358586581423879e-05,2.848750409611966461e-05,2.786263939924538136e-05,2.657446930243168026e-05,1.109803199768066406e+00
