frame,grasp_frame_centre_s
0,0.2610
1,0.7829
2,1.3048
3,1.8267
4,2.3486
5,2.8706
6,3.3925
7,3.9144
8,4.4363
9,4.9582
10,5.4802
11,6.0021
12,6.5240
13,7.0459
14,7.5678
15,8.0898
16,8.6117
17,9.1336
18,9.6555
19,10.1774
20,10.6994
21,11.2213
22,11.7432
23,12.2651
24,12.7870
25,13.3090
26,13.8309
27,14.3528
28,14.8747
29,15.3966
30,15.9186
31,16.4405
32,16.9624
33,17.4843
34,18.0062
35,18.5282
36,19.0501
37,19.5720
38,20.0939
39,20.6158
40,21.1378
41,21.6597
42,22.1816
43,22.7035
44,23.2254
45,23.7474
46,24.2693
47,24.7912
48,25.3131
49,25.8350
50,26.3570
51,26.8789
52,27.4008
53,27.9227
54,28.4446
55,28.9666
56,29.4885
57,30.0104
58,30.5323
59,31.0542
60,31.5762
61,32.0981
62,32.6200
63,33.1419
64,33.6638
65,34.1858
66,34.7077
67,35.2296
68,35.7515
69,36.2734
70,36.7954
71,37.3173
72,37.8392
73,38.3611
74,38.8830
75,39.4050
76,39.9269
77,40.4488
78,40.9707
79,41.4926
80,42.0146
81,42.5365
82,43.0584
83,43.5803
84,44.1022
85,44.6242
86,45.1461
87,45.6680
88,46.1899
89,46.7118
90,47.2338
91,47.7557
92,48.2776
93,48.7995
94,49.3214
95,49.8434
96,50.3653
97,50.8872
98,51.4091
99,51.9310
100,52.4530
101,52.9749
102,53.4968
103,54.0187
104,54.5406
105,55.0626
106,55.5845
107,56.1064
108,56.6283
109,57.1502
110,57.6722
111,58.1941
112,58.7160
113,59.2379
114,59.7598
115,60.2818
116,60.8037
117,61.3256
118,61.8475
119,62.3694
120,62.8914
121,63.4133
122,63.9352
123,64.4571
124,64.9790
125,65.5010
126,66.0229
127,66.5448
128,67.0667
129,67.5886
130,68.1106
131,68.6325
132,69.1544
133,69.6763
134,70.1982
135,70.7202
136,71.2421
137,71.7640
138,72.2859
139,72.8078
140,73.3298
141,73.8517
142,74.3736
143,74.8955
144,75.4174
145,75.9394
146,76.4613
147,76.9832
148,77.5051
149,78.0270
150,78.5490
151,79.0709
152,79.5928
153,80.1147
154,80.6366
155,81.1586
156,81.6805
157,82.2024
158,82.7243
159,83.2462
160,83.7682
161,84.2901
162,84.8120
163,85.3339
164,85.8558
165,86.3778
166,86.8997
167,87.4216
168,87.9435
169,88.4654
170,88.9874
171,89.5093
172,90.0312
173,90.5531
174,91.0750
175,91.5970
176,92.1189
177,92.6408
178,93.1627
179,93.6846
180,94.2066
181,94.7285
182,95.2504
183,95.7723
184,96.2942
185,96.8162
186,97.3381
187,97.8600
188,98.3819
189,98.9038
190,99.4258
191,99.9477
192,100.4696
193,100.9915
194,101.5134
195,102.0354
196,102.5573
197,103.0792
198,103.6011
199,104.1230
200,104.6450
201,105.1669
202,105.6888
203,106.2107
204,106.7326
205,107.2546
206,107.7765
207,108.2984
208,108.8203
209,109.3422
210,109.8642
211,110.3861
212,110.9080
213,111.4299
214,111.9518
215,112.4738
216,112.9957
217,113.5176
218,114.0395
219,114.5614
220,115.0834
221,115.6053
222,116.1272
223,116.6491
224,117.1710
225,117.6930
226,118.2149
227,118.7368
228,119.2587
229,119.7806
230,120.3026
231,120.8245
232,121.3464
233,121.8683
234,122.3902
235,122.9122
236,123.4341
237,123.9560
238,124.4779
239,124.9998
240,125.5218
241,126.0437
242,126.5656
243,127.0875
244,127.6094
245,128.1314
246,128.6533
247,129.1752
248,129.6971
249,130.2190
250,130.7410
251,131.2629
252,131.7848
253,132.3067
254,132.8286
255,133.3506
256,133.8725
257,134.3944
258,134.9163
259,135.4382
260,135.9602
261,136.4821
262,137.0040
263,137.5259
264,138.0478
265,138.5698
266,139.0917
267,139.6136
268,140.1355
269,140.6574
270,141.1794
271,141.7013
272,142.2232
273,142.7451
274,143.2670
275,143.7890
276,144.3109
277,144.8328
278,145.3547
279,145.8766
280,146.3986
281,146.9205
282,147.4424
283,147.9643
284,148.4862
285,149.0082
286,149.5301
287,150.0520
288,150.5739
289,151.0958
290,151.6178
291,152.1397
292,152.6616
293,153.1835
294,153.7054
295,154.2274
296,154.7493
297,155.2712
298,155.7931
299,156.3150
300,156.8370
301,157.3589
302,157.8808
303,158.4027
304,158.9246
305,159.4466
306,159.9685
307,160.4904
308,161.0123
309,161.5342
310,162.0562
311,162.5781
312,163.1000
313,163.6219
314,164.1438
315,164.6658
316,165.1877
317,165.7096
318,166.2315
319,166.7534
320,167.2754
321,167.7973
322,168.3192
323,168.8411
324,169.3630
325,169.8850
326,170.4069
327,170.9288
328,171.4507
329,171.9726
330,172.4946
331,173.0165
332,173.5384
333,174.0603
334,174.5822
335,175.1042
336,175.6261
337,176.1480
338,176.6699
339,177.1918
340,177.7138
341,178.2357
342,178.7576
343,179.2795
