method,family,K,SSIM,PSNR,HaarPSI,NRMSE,curve_aorta,curve_cortex,curve_medulla,aorta_peak,aorta_fwhm,aorta_ttp
GRASP-K3,GRASP,3,0.9645941995604094,39.82548931033112,0.8845818152781143,0.01591401159097332,0.6770046949386597,0.5762814879417419,0.5899509191513062,0.12764397263526917,56.36736297607422,32.619998931884766
GRASP-K5,GRASP,5,0.9631012546461682,38.572412934414174,0.8693052576205065,0.016586848251727345,0.5939006805419922,0.5250851511955261,0.5500854849815369,0.23321248590946198,56.8892822265625,31.576160430908203
GRASP-K8,GRASP,8,0.9786837133903836,39.96066046870032,0.8989820916985356,0.012362915996819475,0.3763399124145508,0.13472719490528107,0.150826558470726,0.4769451916217804,57.41120147705078,32.098079681396484
GRASP-K12,GRASP,12,0.9801134401282598,40.72639626680419,0.8877906846099122,0.010252300997773661,0.22221052646636963,0.08827225863933563,0.08245980739593506,0.7666128277778625,10.438398361206055,30.010400772094727
GRASP-K16,GRASP,16,0.9245681870122289,33.88957766599433,0.6517772649436496,0.02098977156958088,0.27831026911735535,0.11448583751916885,0.09329638630151749,0.7517801523208618,10.438398361206055,30.010400772094727
GRASP-K24,GRASP,24,0.8289058915404386,29.603923043539357,0.46681979090668435,0.034274335766514376,0.3914129436016083,0.18358546495437622,0.12208565324544907,0.5200114846229553,15.657600402832031,28.96656036376953
GRASP-K32,GRASP,32,0.7614972742144451,27.656488329865212,0.39591612883431965,0.04315061115681432,0.43792811036109924,0.2608051300048828,0.19122126698493958,0.4378332495689392,56.88927459716797,31.576160430908203
NIK-F0,NIK,nan,0.9065223727649985,32.29308711501523,0.6986813028884489,0.02558823811643448,0.12078139847795383,0.18658178548225365,0.22238040367708206,0.8798608935850116,11.482240676879883,27.400800704956055
NIK-sub5,NIK,nan,0.9133877252320701,32.76842174191498,0.694172412330328,0.023824363105908183,0.18516892101818488,0.3013845614469501,0.35782823240262746,0.664922812742089,17.223360061645508,30.532320022583008
NIK-sub12,NIK,nan,0.921352462362001,33.68208492897139,0.7378208002205505,0.02215666783368088,0.24203261705376852,0.11659626591245666,0.10382880106840207,1.0541864856716725,11.482240676879883,27.922719955444336
NIK-sub16,NIK,nan,0.926694667497416,34.37747429198007,0.7493005213002826,0.01923787774160721,0.07611479113125758,0.1192469942755384,0.1285454668899081,0.7819362183053604,12.526079177856445,28.444639205932617
NIK-free,NIK,nan,0.9138468835042501,32.9918347737336,0.6685790388390075,0.022851107575607172,0.14787491221447915,0.07175695921275252,0.045116920503011276,0.8737900741538849,11.482240676879883,27.922719955444336
CS-file,CS,nan,0.879476325783942,33.12611181567045,0.6244745735338953,0.02329365627880374,0.37498351921026,0.14235192954907908,0.02457249630148706,0.4517727412276875,12.526081085205078,26.87887954711914
