frame,time_s,NIK-F0_NRMSE,NIK-F0_SSIM,NIK-F0_PSNR,NIK-F0_HaarPSI,NIK-sub5_NRMSE,NIK-sub5_SSIM,NIK-sub5_PSNR,NIK-sub5_HaarPSI,NIK-sub12_NRMSE,NIK-sub12_SSIM,NIK-sub12_PSNR,NIK-sub12_HaarPSI,NIK-sub16_NRMSE,NIK-sub16_SSIM,NIK-sub16_PSNR,NIK-sub16_HaarPSI,NIK-free_NRMSE,NIK-free_SSIM,NIK-free_PSNR,NIK-free_HaarPSI,GRASP-Pro_NRMSE,GRASP-Pro_SSIM,GRASP-Pro_PSNR,GRASP-Pro_HaarPSI,CS-file_NRMSE,CS-file_SSIM,CS-file_PSNR,CS-file_HaarPSI
0,0.26,0.0231,0.8831,32.7265,0.5972,0.0294,0.8793,30.6254,0.5211,0.0130,0.9408,37.7037,0.7489,0.0167,0.9329,35.5334,0.7597,0.0133,0.9396,37.5139,0.7161,0.0080,0.9680,41.9621,0.8435,0.0112,0.9319,38.9802,0.7381
1,0.78,0.0231,0.8831,32.7265,0.5972,0.0295,0.8798,30.6001,0.5203,0.0130,0.9408,37.6940,0.7483,0.0167,0.9331,35.5371,0.7603,0.0132,0.9411,37.5770,0.7205,0.0088,0.9653,41.0827,0.8420,0.0109,0.9354,39.2837,0.7567
2,1.30,0.0231,0.8831,32.7265,0.5972,0.0295,0.8802,30.5901,0.5201,0.0131,0.9407,37.6852,0.7479,0.0167,0.9332,35.5357,0.7608,0.0132,0.9423,37.6209,0.7239,0.0072,0.9755,42.8103,0.8754,0.0104,0.9405,39.6306,0.7837
3,1.83,0.0231,0.8831,32.7265,0.5972,0.0295,0.8804,30.5911,0.5201,0.0131,0.9406,37.6799,0.7477,0.0167,0.9332,35.5305,0.7613,0.0131,0.9431,37.6567,0.7268,0.0083,0.9676,41.6104,0.8370,0.0100,0.9455,40.0119,0.8013
4,2.35,0.0231,0.8831,32.7265,0.5972,0.0295,0.8805,30.5982,0.5203,0.0131,0.9406,37.6782,0.7475,0.0167,0.9332,35.5219,0.7618,0.0130,0.9438,37.6889,0.7291,0.0085,0.9680,41.3890,0.8521,0.0096,0.9494,40.3461,0.8168
5,2.87,0.0231,0.8831,32.7265,0.5972,0.0295,0.8805,30.6070,0.5205,0.0131,0.9406,37.6790,0.7475,0.0168,0.9332,35.5103,0.7621,0.0130,0.9444,37.7185,0.7311,0.0076,0.9746,42.3587,0.8692,0.0093,0.9521,40.6017,0.8278
6,3.39,0.0231,0.8831,32.7265,0.5972,0.0295,0.8805,30.6146,0.5207,0.0131,0.9406,37.6809,0.7475,0.0168,0.9332,35.4964,0.7624,0.0130,0.9448,37.7461,0.7327,0.0083,0.9690,41.6128,0.8387,0.0092,0.9534,40.7446,0.8295
7,3.91,0.0231,0.8831,32.7265,0.5972,0.0294,0.8804,30.6196,0.5208,0.0131,0.9406,37.6826,0.7476,0.0168,0.9332,35.4813,0.7626,0.0129,0.9452,37.7716,0.7341,0.0082,0.9715,41.7272,0.8646,0.0090,0.9556,40.9526,0.8432
8,4.44,0.0231,0.8831,32.7265,0.5972,0.0294,0.8803,30.6218,0.5209,0.0131,0.9405,37.6832,0.7477,0.0169,0.9331,35.4663,0.7628,0.0129,0.9455,37.7948,0.7353,0.0079,0.9737,42.0133,0.8604,0.0089,0.9560,41.0044,0.8437
9,4.96,0.0231,0.8831,32.7265,0.5972,0.0294,0.8803,30.6218,0.5209,0.0131,0.9405,37.6826,0.7477,0.0169,0.9331,35.4532,0.7630,0.0129,0.9458,37.8153,0.7363,0.0081,0.9709,41.7963,0.8449,0.0089,0.9564,41.0015,0.8410
10,5.48,0.0231,0.8831,32.7265,0.5972,0.0294,0.8803,30.6204,0.5208,0.0131,0.9405,37.6809,0.7478,0.0169,0.9330,35.4437,0.7631,0.0128,0.9460,37.8336,0.7371,0.0079,0.9749,42.0450,0.8777,0.0089,0.9563,41.0259,0.8415
11,6.00,0.0231,0.8831,32.7265,0.5972,0.0294,0.8803,30.6186,0.5208,0.0131,0.9405,37.6788,0.7478,0.0169,0.9330,35.4392,0.7631,0.0128,0.9462,37.8493,0.7377,0.0083,0.9722,41.6622,0.8512,0.0089,0.9559,41.0113,0.8397
12,6.52,0.0231,0.8831,32.7265,0.5972,0.0295,0.8803,30.6169,0.5208,0.0131,0.9404,37.6770,0.7477,0.0169,0.9330,35.4405,0.7631,0.0128,0.9463,37.8625,0.7381,0.0079,0.9729,42.0847,0.8531,0.0089,0.9566,41.0599,0.8396
13,7.05,0.0231,0.8831,32.7265,0.5972,0.0295,0.8803,30.6153,0.5207,0.0131,0.9404,37.6762,0.7477,0.0169,0.9331,35.4476,0.7631,0.0128,0.9464,37.8740,0.7383,0.0077,0.9767,42.2789,0.8843,0.0089,0.9562,41.0321,0.8405
14,7.57,0.0231,0.8831,32.7265,0.5972,0.0295,0.8803,30.6136,0.5207,0.0131,0.9404,37.6771,0.7477,0.0169,0.9331,35.4598,0.7630,0.0128,0.9464,37.8838,0.7385,0.0084,0.9714,41.4710,0.8457,0.0089,0.9564,41.0456,0.8444
15,8.09,0.0231,0.8831,32.7265,0.5972,0.0295,0.8803,30.6115,0.5206,0.0131,0.9404,37.6799,0.7477,0.0168,0.9332,35.4754,0.7629,0.0127,0.9465,37.8918,0.7386,0.0074,0.9756,42.6652,0.8658,0.0088,0.9567,41.1072,0.8454
16,8.61,0.0231,0.8831,32.7265,0.5972,0.0295,0.8803,30.6084,0.5205,0.0131,0.9404,37.6847,0.7477,0.0168,0.9333,35.4926,0.7628,0.0127,0.9465,37.8996,0.7386,0.0077,0.9765,42.3266,0.8791,0.0088,0.9573,41.1126,0.8407
17,9.13,0.0231,0.8831,32.7265,0.5972,0.0295,0.8803,30.6042,0.5204,0.0130,0.9404,37.6908,0.7478,0.0168,0.9334,35.5092,0.7627,0.0127,0.9465,37.9067,0.7386,0.0081,0.9735,41.8585,0.8535,0.0088,0.9565,41.0673,0.8387
18,9.66,0.0231,0.8831,32.7265,0.5972,0.0295,0.8803,30.5991,0.5203,0.0130,0.9404,37.6977,0.7478,0.0167,0.9334,35.5233,0.7625,0.0127,0.9465,37.9135,0.7386,0.0064,0.9794,43.8454,0.8863,0.0089,0.9566,41.0514,0.8368
