metric,NIK-F0,NIK-sub5,NIK-sub12,NIK-sub16,NIK-free,GRASP-v2,CS-file
NRMSE_overall(mean+-sd),0.0265+-0.0014,0.0235+-0.0007,0.0244+-0.0049,0.0190+-0.0002,0.0240+-0.0022,0.0393+-0.0000,0.0233+-0.0000
SSIM_overall,0.9065,0.9134,0.9214,0.9267,0.9138,0.7617,0.8795
PSNR_overall_dB,32.2931,32.7684,33.6821,34.3775,32.9918,28.4877,33.1261
HaarPSI_overall,0.6987,0.6942,0.7378,0.7493,0.6686,0.4424,0.6245
NRMSE_precontrast,0.0231,0.0295,0.0130,0.0168,0.0128,0.0163,0.0091
NRMSE_first_pass,0.0450,0.0370,0.0397,0.0228,0.0245,0.0458,0.0305
NRMSE_cortical,0.0249,0.0203,0.0186,0.0185,0.0234,0.0413,0.0241
NRMSE_late,0.0205,0.0205,0.0204,0.0190,0.0240,0.0409,0.0236
SSIM_precontrast,0.8831,0.8801,0.9404,0.9333,0.9454,0.8865,0.9548
SSIM_first_pass,0.8309,0.8797,0.8715,0.9133,0.8901,0.7433,0.8531
SSIM_cortical,0.9220,0.9263,0.9332,0.9304,0.9167,0.7478,0.8738
SSIM_late,0.9262,0.9237,0.9267,0.9276,0.9134,0.7495,0.8754
HaarPSI_precontrast,0.5972,0.5200,0.7478,0.7621,0.7350,0.6036,0.8336
HaarPSI_first_pass,0.5500,0.6285,0.6482,0.7019,0.6148,0.4273,0.5954
HaarPSI_cortical,0.7318,0.7335,0.7558,0.7574,0.6753,0.4269,0.6059
HaarPSI_late,0.7471,0.7288,0.7539,0.7570,0.6683,0.4229,0.6012
