name,psnr,ssim,haarpsi,nrmse,aorta_cNRMSE,cortex_cNRMSE,medulla_cNRMSE,aorta_ttp,aorta_ttp_true,aorta_fwhm,aorta_fwhm_true,aorta_peak,aorta_peak_true,bgring
GRASP-K12,38.729,0.9505,0.8676,0.01025,0.1606,0.0546,0.0537,30.01,27.40,11.48,12.53,0.7928,0.8045,0.01935
sub16_s0 base,34.436,0.8837,0.8015,0.01878,0.0840,0.0493,0.0487,28.97,27.40,12.53,12.53,0.8189,0.8045,0.05004
sub16_s0 r0.05 hard,34.431,0.8836,0.8006,0.01880,0.0841,0.0495,0.0490,28.44,27.40,12.53,12.53,0.8185,0.8045,0.04975
sub16_s0 r0.05 soft,34.432,0.8836,0.8007,0.01879,0.0842,0.0494,0.0489,28.44,27.40,12.53,12.53,0.8191,0.8045,0.05017
sub16_s0 r0.1 hard,34.432,0.8834,0.8003,0.01879,0.0849,0.0494,0.0488,28.44,27.40,12.00,12.53,0.8216,0.8045,0.05054
sub16_s0 r0.1 soft,34.435,0.8836,0.8007,0.01878,0.0850,0.0494,0.0488,28.44,27.40,12.53,12.53,0.8211,0.8045,0.05050
sub16_s0 r0.15 hard,34.433,0.8832,0.7996,0.01879,0.0846,0.0495,0.0487,28.44,27.40,12.00,12.53,0.8227,0.8045,0.05098
sub16_s0 r0.15 soft,34.437,0.8836,0.8006,0.01878,0.0846,0.0495,0.0487,28.44,27.40,12.00,12.53,0.8217,0.8045,0.05077
sub16_s1 base,34.287,0.8768,0.7877,0.01924,0.1438,0.0444,0.0431,28.44,27.40,13.57,12.53,0.8430,0.8045,0.07124
sub16_s1 r0.05 hard,34.243,0.8759,0.7862,0.01936,0.1386,0.0437,0.0425,28.44,27.40,13.05,12.53,0.8436,0.8045,0.07220
sub16_s1 r0.05 soft,34.243,0.8759,0.7861,0.01935,0.1390,0.0437,0.0425,28.44,27.40,13.05,12.53,0.8438,0.8045,0.07178
sub16_s1 r0.1 hard,34.243,0.8758,0.7859,0.01935,0.1378,0.0437,0.0425,28.44,27.40,13.05,12.53,0.8440,0.8045,0.07172
sub16_s1 r0.1 soft,34.245,0.8759,0.7862,0.01935,0.1383,0.0437,0.0426,28.44,27.40,13.05,12.53,0.8441,0.8045,0.07170
sub16_s1 r0.15 hard,34.245,0.8757,0.7857,0.01935,0.1382,0.0437,0.0425,28.44,27.40,13.05,12.53,0.8429,0.8045,0.07184
sub16_s1 r0.15 soft,34.248,0.8759,0.7863,0.01934,0.1386,0.0438,0.0426,28.44,27.40,13.05,12.53,0.8435,0.8045,0.07170
sub16_cplxavg base,34.580,0.8855,0.8041,0.01856,0.0979,0.0453,0.0437,28.44,27.40,13.05,12.53,0.8302,0.8045,0.05988
sub16_cplxavg r0.05 soft,34.553,0.8850,0.8024,0.01863,0.0957,0.0450,0.0435,28.44,27.40,13.05,12.53,0.8311,0.8045,0.06005
sub16_cplxavg r0.1 soft,34.555,0.8850,0.8025,0.01863,0.0961,0.0450,0.0436,28.44,27.40,13.05,12.53,0.8323,0.8045,0.06007
sub16_cplxavg r0.15 soft,34.558,0.8850,0.8025,0.01862,0.0959,0.0451,0.0435,28.44,27.40,13.05,12.53,0.8323,0.8045,0.06016
