name,psnr,ssim,haarpsi,nrmse,c_aorta,c_cortex,c_medulla,aorta_ttp,aorta_pk
GRASP-K12 (ref),38.5314,0.9515,0.8707,0.0103,0.1606,0.0546,0.0537,30.0104,0.7928
sub16 mean,36.4199,0.9205,0.8871,0.0148,0.1561,0.0500,0.0475,28.7056,0.8382
sub16 cplx-seedavg,36.7530,0.9247,0.8965,0.0143,0.1431,0.0484,0.0452,28.4446,0.8370
sub5 mean,33.2258,0.9043,0.8404,0.0196,0.2809,0.1149,0.1307,30.0104,0.7815
sub5 cplx-seedavg,34.3158,0.9124,0.8516,0.0176,0.2727,0.0920,0.1025,30.0104,0.7891
sub12 mean,33.0927,0.9043,0.8561,0.0205,0.2260,0.1290,0.1214,28.7926,0.9866
sub12 cplx-seedavg,36.1619,0.9256,0.9024,0.0148,0.1972,0.0707,0.0632,28.4446,0.9808
free mean,36.1800,0.9006,0.8465,0.0153,0.0885,0.0123,0.0139,27.9227,0.8618
free cplx-seedavg,37.3494,0.9180,0.8843,0.0132,0.0805,0.0111,0.0145,27.9227,0.8641
F0 mean,32.2059,0.8824,0.8100,0.0220,0.0616,0.1082,0.1308,27.4008,0.8718
F0 cplx-seedavg,32.3209,0.8903,0.8272,0.0216,0.0622,0.1082,0.1307,27.4008,0.8724
