name,psnr,ssim,haarpsi,nrmse,c_aorta,c_cortex,c_medulla,aorta_ttp,aorta_pk
GRASP-v2,27.8494,0.6106,0.4433,0.0393,0.3876,0.1870,0.1023,28.9666,0.4796
sub16 mean,36.4297,0.9204,0.8872,0.0148,0.1561,0.0499,0.0473,28.7056,0.8383
sub16 cplx-seedavg,36.7637,0.9246,0.8966,0.0143,0.1431,0.0483,0.0450,28.4446,0.8371
sub5 mean,33.2299,0.9042,0.8403,0.0196,0.2809,0.1149,0.1307,30.0104,0.7815
sub5 cplx-seedavg,34.3211,0.9123,0.8516,0.0176,0.2727,0.0920,0.1025,30.0104,0.7891
sub12 mean,33.0942,0.9043,0.8561,0.0205,0.2261,0.1290,0.1214,28.7926,0.9867
sub12 cplx-seedavg,36.1658,0.9255,0.9024,0.0148,0.1972,0.0707,0.0633,28.4446,0.9809
free mean,36.1895,0.9006,0.8467,0.0152,0.0884,0.0123,0.0138,27.9227,0.8619
free cplx-seedavg,37.3622,0.9180,0.8844,0.0132,0.0806,0.0111,0.0142,27.9227,0.8642
F0 mean,32.2087,0.8824,0.8101,0.0220,0.0617,0.1082,0.1308,27.4008,0.8719
F0 cplx-seedavg,32.3237,0.8903,0.8273,0.0216,0.0623,0.1082,0.1307,27.4008,0.8725
